2,17582.85,1115840.06
3,34121.90,766293.38
4,50791.42,599920.03
5,67513.14,506816.03
6,84260.95,450346.69
7,101023.67,414811.45
8,117795.71,392360.02
9,134573.97,378631.13
10,151356.57,371008.01
11,168142.34,367825.47
12,184930.47,367973.34
13,201720.44,370683.09
14,218511.84,375405.72
15,235304.38,381738.68
16,252097.86,389380.01
17,268892.10,398098.83
18,285686.98,407715.56
19,302482.41,418088.43
20,319278.28,429104.01
21,336074.56,440670.48
22,352871.17,452712.73
23,369668.07,465168.70
24,386465.24,477986.67
25,403262.63,491123.21
26,420060.22,504541.54
27,436857.99,518210.38
28,453655.92,532102.86
29,470453.99,546195.87
30,487252.19,560469.34
31,504050.51,574905.81
32,520848.93,589490.00
