2.000000000000000000e+00,8.838556546912535339e+00,2.042363484129553708e+00
3.000000000000000000e+00,4.554465161753984859e+00,2.973992823367119787e+00
4.000000000000000000e+00,3.059709437566148882e+00,3.798757966434115119e+00
5.000000000000000000e+00,2.301877848615093480e+00,4.496604064648308530e+00
6.000000000000000000e+00,1.844353772090985277e+00,5.060436906545511704e+00
7.000000000000000000e+00,1.538322637631683421e+00,5.493944340046814645e+00
8.000000000000000000e+00,1.319292504145396450e+00,5.808316106804618961e+00
9.000000000000000000e+00,1.154807309729265041e+00,6.018921446421946264e+00
1.000000000000000000e+01,1.026760849065404102e+00,6.142592402000840224e+00
1.100000000000000000e+01,9.242585991533015521e-01,6.195740126753849886e+00
1.200000000000000000e+01,8.403536530230945045e-01,6.193250238326341695e+00
1.300000000000000000e+01,7.704078048447901006e-01,6.147976753546575246e+00
1.400000000000000000e+01,7.112063273493098858e-01,6.070634671054267351e+00
1.500000000000000000e+01,6.604509450240323432e-01,5.969924318342451741e+00
1.600000000000000000e+01,6.164550640516961444e-01,5.852768384302233784e+00
1.700000000000000000e+01,5.779530157544756630e-01,5.724586013519444627e+00
1.800000000000000000e+01,5.439764818206006547e-01,5.589560980578384353e+00
1.900000000000000000e+01,5.137720322950450891e-01,5.450882752928555952e+00
2.000000000000000000e+01,4.867446593713491976e-01,5.310952510880713184e+00
2.100000000000000000e+01,4.624182246667448148e-01,5.171553557166917336e+00
2.200000000000000000e+01,4.404071912819376711e-01,5.033989180355392001e+00
2.300000000000000000e+01,4.203960553390417298e-01,4.899192474066889069e+00
2.400000000000000000e+01,4.021241368520418469e-01,4.767812856848602898e+00
2.500000000000000000e+01,3.853741687384107939e-01,4.640283693368305151e+00
2.600000000000000000e+01,3.699636217150093498e-01,4.516874834241447978e+00
2.700000000000000000e+01,3.557380292779962483e-01,4.397733255814733511e+00
2.800000000000000000e+01,3.425657947388292546e-01,4.282914383854356188e+00
2.900000000000000000e+01,3.303341101431502280e-01,4.172406164100151749e+00
3.000000000000000000e+01,3.189457189174131901e-01,4.066147507498913960e+00
3.100000000000000000e+01,3.083163255315225504e-01,3.964042384271228237e+00
3.200000000000000000e+01,2.983725061870558526e-01,3.865970558679157509e+00
